Type,Cohesion,Altitud,Arena,Alga,Musgo,Liquen,MO.Vegetal
ARENA,0.05,97,1,0,0,0,0
ARENA,0.05,89,1,0,0,0,0
ARENA,0.05,88,1,0,0,0,0
ARENA,0.05,83,1,0,0,0,0
ARENA,0.05,83,1,0,0,0,0
ARENA,0.05,94,1,0,0,0,0
ARENA,0.05,105,1,0,0,0,0
ARENA,0.05,107,1,0,0,0,0
ARENA,0.05,111,1,0,0,0,0
ARENA,0.05,116,1,0,0,0,0
ARENA,0.05,117,1,0,0,0,0
ARENA,0.05,121,1,0,0,0,0
ARENA,0.05,116,1,0,0,0,0
ARENA,0.05,118,1,0,0,0,0
ARENA,0.05,118,1,0,0,0,0
ARENA,0.4,120,1,0,0,0,0
ARENA,0.3,123,0.8,0.2,0,0,0
ARENA,0.19,125,0.8,0.2,0,0,0
ARENA,0.218,127,0.7,0.3,0,0,0
ARENA,0.228,126,0.8,0.2,0,0,0
LC,0.27,128,0.5,0.5,0,0,0
LC,0.28,132,0.4,0.6,0,0,0
LC,0.28,135,0.4,0.6,0,0,0
LC,0.22,137,0.4,0.6,0,0,0
LC,0.2,139,0.5,0.5,0,0,0
LC,0.17,145,0.5,0.5,0,0,0
LC,0.41,148,0.3,0.7,0,0,0
LC,0.23,156,0.4,0.6,0,0,0
LC,0.25,158,0.3,0.7,0,0,0
LC,0.3,162,0.6,0.4,0,0,0
LC,0.29,165,0.2,0.8,0,0,0
LC,0.16,165,0.6,0.4,0,0,0
LC,0.4,168,0.5,0.5,0,0,0
LC,0.48,172,0.5,0.5,0,0,0
LC,0.88,176,0.4,0.6,0,0,0
LC,1.26,180,0.3,0.7,0,0,0
LC,0.47,121,0.6,0.4,0,0,0
LC,0.88,122,0.4,0.5,0,0.1,0
LC,0.54,121,0.3,0.7,0,0,0
LC,0.74,119,0.4,0.6,0,0,0
LO,1.13,182,0.1,0.5,0.4,0,0
LO,1.82,185,0.1,0.5,0.4,0,0
LO,1.37,186,0,0.5,0.5,0,0
LO,1.41,186,0,0.4,0.6,0,0
LO,1.22,186,0,0.4,0.6,0,0
LO,2.27,186,0,0.3,0.6,0.1,0
LO,1.95,190,0,0.3,0.6,0.1,0
LO,3.23,193,0,0.1,0.8,0.1,0
LO,3.44,194,0,0.1,0.8,0.1,0
LO,2.33,191,0,0,0.9,0.1,0
LO,1.76,122,0.1,0.4,0.2,0.3,0
LO,2.14,125,0.1,0.4,0.15,0.35,0
LO,1.96,122,0.05,0.6,0.25,0.1,0
LO,1.9,125,0.1,0.4,0.3,0.2,0
LO,1.56,125,0.1,0.3,0.4,0.1,0.1
LO,1.82,125,0.1,0.3,0.4,0.1,0.1
LO,2.82,123,0,0.3,0.5,0.1,0.1
LO,4.16,122,0,0.2,0.6,0.1,0.1
LO,3.12,123,0,0.2,0.6,0.1,0.1
LO,3.38,127,0,0.1,0.6,0.1,0.2
R,1.78,196,0,0,0.9,0.1,0
R,3.28,199,0,0,1,0,0
R,2.3,201,0,0,1,0,0
R,1.84,201,0,0,0.9,0.1,0
R,1.37,199,0,0.1,0.8,0.1,0
R,1.82,201,0,0.1,0.8,0.1,0
R,2.92,201,0,0,0.9,0.1,0
R,2.44,205,0,0,0.9,0.1,0
R,1.84,200,0,0.1,0.8,0.1,0
R,1.73,206,0,0,0.6,0.4,0
R,2.41,206,0,0,0.9,0,0.1
R,2.73,206,0,0,0.9,0,0.1
R,2.04,209,0,0,0.8,0.1,0.1
R,2.05,210,0,0,0.8,0.1,0.1
R,2.26,211,0,0,0.8,0.1,0.1
R,3.79,211,0,0,0.8,0.1,0.1
R,3.68,213,0,0,0.8,0.1,0.1
R,2.78,214,0,0,0.8,0.1,0.1
R,2.6,217,0,0,0.7,0.1,0.2
R,3.41,217,0,0,0.7,0.1,0.2
R,3.05,216,0,0,0.8,0.1,0.1
R,1.77,221,0,0,0.7,0.1,0.2
R,1.76,221,0,0,0.65,0.1,0.25
R,2.83,222,0,0,0.6,0.1,0.3
R,1.33,224,0,0,0.7,0.1,0.2
R,1.41,226,0,0,0.6,0.1,0.3
R,1.22,226,0,0,0.6,0.1,0.3
R,2.45,228,0,0,0.55,0.1,0.35
R,2.58,229,0,0,0.6,0.1,0.3
R,2.54,130,0,0,0.7,0.1,0.2
R,2.18,133,0,0,0.7,0.1,0.2
R,2.98,135,0,0,0.7,0.1,0.2
R,2.22,137,0.1,0,0.6,0.1,0.2
R,0.92,139,0.3,0,0.5,0.1,0.1
R,3.3,138,0,0,0.7,0.1,0.2
R,2.58,144,0,0,0.6,0.1,0.3
R,3.5,147,0,0,0.7,0.1,0.2
R,3.22,151,0,0,0.6,0.2,0.2
R,3.42,156,0,0,0.7,0.1,0.2
R,3.64,161,0,0,0.7,0.1,0.2
R,3.1,167,0,0,0.7,0.1,0.2
R,1.92,173,0,0,0.6,0.1,0.3
R,1.8,178,0,0,0.5,0.1,0.4
R,1.22,183,0,0,0.5,0.1,0.4
R,1.16,189,0,0,0.5,0.1,0.4
R,1.34,201,0,0,0.5,0.1,0.4
RMO,1.9,229,0,0,0.6,0,0.4
RMO,1.44,230,0,0,0.6,0,0.4
RMO,2.52,230,0,0,0.6,0,0.4
RMO,1.36,232,0,0,0.7,0,0.3
RMO,1.31,232,0,0,0.6,0,0.4
RMO,1.31,234,0,0,0.55,0,0.45
RMO,1.06,233,0,0,0.55,0,0.45
RMO,1.02,233,0,0,0.5,0,0.5
RMO,0.66,233,0,0,0.5,0,0.5
RMO,0.78,234,0,0,0.5,0,0.5
RMO,0.88,235,0,0,0.5,0,0.5
RMO,1.66,215,0,0,0.6,0.1,0.3
RMO,1.56,222,0,0,0.5,0.1,0.4
RMO,2.26,227,0,0,0.6,0.1,0.3
RMO,1.82,233,0,0,0.6,0.1,0.3
RMO,1.96,237,0,0,0.5,0.1,0.4
RMO,1.84,245,0,0,0.5,0,0.5
RMO,1.62,248,0,0,0.4,0,0.6
RMO,1.6,253,0,0,0.5,0,0.5
RMO,1.46,255,0,0,0.4,0,0.6
RMO,1.32,256,0,0,0.4,0,0.6
RMO,1.6,259,0,0,0.4,0,0.6
RMO,1.4,262,0,0,0.3,0,0.7
RMO,1.46,262,0,0,0.3,0,0.7
RMO,1.3,264,0,0,0.3,0,0.7
RMO,1.56,267,0,0,0.4,0,0.6
RMO,1.56,271,0,0,0.4,0,0.6
RMO,1.42,275,0,0,0.4,0,0.6
RMO,1.34,277,0,0,0.4,0,0.6
RMO,1.42,278,0,0,0.4,0,0.6
RVEG,1.03,236,0,0,0.5,0,0.5
RVEG,0.89,237,0,0,0.5,0,0.5
RVEG,0.85,238,0,0,0.45,0,0.55
RVEG,1.01,238,0,0,0.45,0,0.55
RVEG,0.8,240,0,0,0.4,0,0.6
RVEG,0.93,241,0,0,0.4,0,0.6
RVEG,0.79,241,0,0,0.4,0,0.6
RVEG,1,242,0,0,0.4,0,0.6
RVEG,1.25,241,0,0,0.5,0,0.5
RVEG,1.21,244,0,0,0.5,0,0.5
RVEG,0.74,246,0,0,0.45,0,0.55
RVEG,0.54,247,0,0,0.45,0,0.55
RVEG,0.59,247,0,0,0.45,0,0.55
RVEG,0.74,248,0,0,0.4,0,0.6
RVEG,0.64,249,0,0,0.35,0,0.65
RVEG,0.69,251,0,0,0.35,0,0.65
RVEG,0.71,253,0,0,0.3,0,0.7
RVEG,0.77,255,0,0,0.3,0,0.7
RVEG,1.17,258,0,0,0.3,0,0.7
RVEG,0.82,260,0,0,0.25,0,0.75
RVEG,0.87,263,0,0,0.2,0,0.8
RVEG,0.79,266,0,0,0.2,0,0.8
RVEG,0.92,268,0,0,0.2,0,0.8
RVEG,1.1,270,0,0,0.15,0,0.85
RVEG,0.85,272,0,0,0.15,0,0.85
RVEG,0.64,273,0,0,0.15,0,0.85